TiSId;Índice;Ticker;Data;Cotação
62;MSCI All Countries;MXWD Index;28/06/2017;1546,1179
62;MSCI All Countries;MXWD Index;27/06/2017;1549,13306
62;MSCI All Countries;MXWD Index;26/06/2017;1550,99591
62;MSCI All Countries;MXWD Index;23/06/2017;1555,70383
62;MSCI All Countries;MXWD Index;22/06/2017;1550,85389
62;MSCI All Countries;MXWD Index;21/06/2017;1551,53305
62;MSCI All Countries;MXWD Index;20/06/2017;1554,24749
62;MSCI All Countries;MXWD Index;19/06/2017;1547,41552
62;MSCI All Countries;MXWD Index;16/06/2017;1535,14428
62;MSCI All Countries;MXWD Index;15/06/2017;1521,54468
62;MSCI All Countries;MXWD Index;14/06/2017;1536,40437
62;MSCI All Countries;MXWD Index;13/06/2017;1545,37881
62;MSCI All Countries;MXWD Index;12/06/2017;1544,22957
62;MSCI All Countries;MXWD Index;09/06/2017;1529,78669
62;MSCI All Countries;MXWD Index;08/06/2017;1532,14501
62;MSCI All Countries;MXWD Index;07/06/2017;1535,37713
62;MSCI All Countries;MXWD Index;06/06/2017;1534,08426
62;MSCI All Countries;MXWD Index;05/06/2017;1540,82339
62;MSCI All Countries;MXWD Index;02/06/2017;1521,64761
62;MSCI All Countries;MXWD Index;01/06/2017;1511,52111
62;MSCI All Countries;MXWD Index;31/05/2017;1507,65548
62;MSCI All Countries;MXWD Index;30/05/2017;1515,60516
62;MSCI All Countries;MXWD Index;29/05/2017;1517,21242
62;MSCI All Countries;MXWD Index;26/05/2017;1517,46198
62;MSCI All Countries;MXWD Index;25/05/2017;1531,36846
62;MSCI All Countries;MXWD Index;24/05/2017;1518,18189
62;MSCI All Countries;MXWD Index;23/05/2017;1517,16254
62;MSCI All Countries;MXWD Index;22/05/2017;1522,10121
62;MSCI All Countries;MXWD Index;19/05/2017;1511,06519
62;MSCI All Countries;MXWD Index;18/05/2017;1539,06077
62;MSCI All Countries;MXWD Index;17/05/2017;1420,52159
62;MSCI All Countries;MXWD Index;16/05/2017;1431,46126
62;MSCI All Countries;MXWD Index;15/05/2017;1434,00932
62;MSCI All Countries;MXWD Index;12/05/2017;1433,6622
62;MSCI All Countries;MXWD Index;11/05/2017;1444,73647
62;MSCI All Countries;MXWD Index;10/05/2017;1452,28166
62;MSCI All Countries;MXWD Index;09/05/2017;1462,23705
62;MSCI All Countries;MXWD Index;08/05/2017;1472,43128
62;MSCI All Countries;MXWD Index;05/05/2017;1460,94564
62;MSCI All Countries;MXWD Index;04/05/2017;1457,30743
62;MSCI All Countries;MXWD Index;03/05/2017;1438,35552
62;MSCI All Countries;MXWD Index;02/05/2017;1449,71884
62;MSCI All Countries;MXWD Index;01/05/2017;1449,53818
62;MSCI All Countries;MXWD Index;28/04/2017;1449,81831
62;MSCI All Countries;MXWD Index;27/04/2017;1447,32497
62;MSCI All Countries;MXWD Index;26/04/2017;1461,40866
62;MSCI All Countries;MXWD Index;25/04/2017;1438,24994
62;MSCI All Countries;MXWD Index;24/04/2017;1418,61701
62;MSCI All Countries;MXWD Index;21/04/2017;1405,69407
62;MSCI All Countries;MXWD Index;20/04/2017;1413,59138
62;MSCI All Countries;MXWD Index;19/04/2017;1394,46704
62;MSCI All Countries;MXWD Index;18/04/2017;1382,32447
62;MSCI All Countries;MXWD Index;17/04/2017;1388,82542
62;MSCI All Countries;MXWD Index;14/04/2017;1396,92479
62;MSCI All Countries;MXWD Index;13/04/2017;1397,80034
62;MSCI All Countries;MXWD Index;12/04/2017;1407,74951
62;MSCI All Countries;MXWD Index;11/04/2017;1403,0834
62;MSCI All Countries;MXWD Index;10/04/2017;1405,68736
62;MSCI All Countries;MXWD Index;07/04/2017;1400,41547
62;MSCI All Countries;MXWD Index;06/04/2017;1394,14959
